Ast_2,Ast_30,Ast_4,FPL_points,FPL_points_2,FPL_points_30,FPL_points_4,FPL_pos,GW,Gls_2,Gls_30,Gls_4,Min_2,Min_30,Min_4,Name_original,Opp_rating,Opp_score_2,Opp_score_30,Opp_score_4,Opponent,Rating_difference,Season,Team,Team_CS_2,Team_CS_30,Team_CS_4,Team_rating,Team_result_2,Team_result_30,Team_result_4,Team_score_2,Team_score_30,Team_score_4,Was_home,xA_2,xA_30,xA_4,xG_2,xG_30,xG_4,xP
0.0,0.0,0.0,9.0,2.0,4.318181818181818,3.75,GK,29,0.0,0.0,0.0,90.0,81.81818181818181,90.0,Aaron Ramsdale,1784.44018555,1.5,1.2272727272727273,1.0,Leicester City,1.0537724582348078,2021-22,Arsenal,0.0,0.4090909090909091,0.25,1880.3939209,3.0,1.9090909090909092,3.0,2.5,1.5909090909090908,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0.0,0.0,0.0,1.0,5.5,4.521739130434782,3.75,GK,27,0.0,0.0,0.0,90.0,82.17391304347827,90.0,Aaron Ramsdale,2020.31091309,1.0,1.173913043478261,1.0,Liverpool,0.9319242504711089,2021-22,Arsenal,0.5,0.43478260869565216,0.25,1882.7767334,3.0,1.9565217391304348,3.0,2.5,1.608695652173913,2.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,5.0,4.375,3.5,GK,31,0.0,0.0,0.0,90.0,82.5,90.0,Aaron Ramsdale,1747.73364258,1.0,1.2083333333333333,1.25,Crystal Palace,1.0795447005384498,2021-22,Arsenal,0.5,0.4166666666666667,0.25,1886.7565918,1.5,1.875,2.25,1.0,1.5416666666666667,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,1.0,4.24,3.25,GK,32,0.0,0.0,0.0,90.0,82.8,90.0,Aaron Ramsdale,1694.31420898,2.5,1.28,1.75,Brighton,1.100480179070498,2021-22,Arsenal,0.0,0.4,0.25,1864.5592041,0.0,1.8,1.5,0.0,1.48,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,2.0,1.0,4.115384615384615,3.0,GK,33,0.0,0.0,0.0,90.0,83.07692307692308,90.0,Aaron Ramsdale,1714.90209961,2.5,1.3076923076923077,1.75,Southampton,1.0849818037211236,2021-22,Arsenal,0.0,0.38461538461538464,0.25,1860.63757324,0.0,1.7307692307692308,0.75,0.5,1.4615384615384615,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,1.0,1.5,4.037037037037037,1.25,GK,25,0.0,0.0,0.0,90.0,83.33333333333333,90.0,Aaron Ramsdale,1940.48571777,1.5,1.2962962962962963,2.0,Chelsea,0.9533617518226295,2021-22,Arsenal,0.0,0.37037037037037035,0.0,1849.98486328,0.0,1.6666666666666667,0.0,0.5,1.4074074074074074,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,3.0,1.5,3.9285714285714284,1.25,GK,34,0.0,0.0,0.0,90.0,83.57142857142857,90.0,Aaron Ramsdale,1855.30944824,1.5,1.3214285714285714,2.0,Manchester Utd,1.0058251053808043,2021-22,Arsenal,0.0,0.35714285714285715,0.0,1866.11682129,1.5,1.7142857142857142,0.75,2.0,1.5,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,2.0,2.0,3.896551724137931,1.75,GK,35,0.0,0.0,0.0,90.0,83.79310344827586,90.0,Aaron Ramsdale,1810.73669434,1.5,1.3103448275862069,1.5,West Ham,1.0347857273544447,2021-22,Arsenal,0.0,0.3448275862068966,0.0,1873.7244873,3.0,1.7586206896551724,1.5,3.5,1.5517241379310345,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,2.5,3.8333333333333335,2.0,GK,36,0.0,0.0,0.0,90.0,84.0,90.0,Aaron Ramsdale,1706.90393066,1.0,1.3,1.25,Leeds United,1.0961994662502819,2021-22,Arsenal,0.0,0.3333333333333333,0.0,1871.10717773,3.0,1.8,2.25,2.5,1.5666666666666667,2.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,2.0,3.9,2.0,GK,22,0.0,0.0,0.0,90.0,87.0,90.0,Aaron Ramsdale,1846.7989502,1.0,1.2666666666666666,1.25,Tottenham,1.0149331313010619,2021-22,Arsenal,0.0,0.3333333333333333,0.0,1874.37744141,3.0,1.9,3.0,2.0,1.6333333333333333,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
