,index,Date,Day,Comp,Round,Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Name,Season,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,WDL,GoalsTeams,Team Score,Opp Score,CS,Was Home,GW
225,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Everton,Fulham,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Joao-Virginia,2023-24,0,0,0,0,0,0,0,0,L,0–1,0,1,0.0,1.0,1
226,0,2023-08-13,Sun,Premier League,Matchweek 1,Away,Liverpool,Chelsea,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Joe-Gomez,2023-24,0,0,0,0,0,0,0,0,D,1–1,1,1,0.0,0.0,1
227,0,2023-08-14,Mon,Premier League,Matchweek 1,Away,Wolves,Manchester Utd,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Joe-Hodge,2023-24,0,0,0,0,0,0,0,0,L,0–1,0,1,0.0,0.0,1
228,0,2023-08-12,Sat,Championship,Matchweek 2,Away,Leeds United,Birmingham City,N,RW,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report,Joe-Rodon,2023-24,,,,,,,,,L,0–1,0,1,0.0,0.0,2
229,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Bournemouth,West Ham,Y,DM,90.0,0.0,0.0,0,0,1,0,0,0,87,3,0,3,0.0,0.0,0.0,5,0,61,75,81.3,5,51,0,5,2,Match Report,Joe-Rothwell,2023-24,,,,,,,,,D,1–1,1,1,0.0,1.0,1
230,0,2023-08-09,Wed,EFL Cup,First round,Away,Colchester Utd,Cardiff City,Y,FW,45.0,1.0,0.0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report,Joe-Taylor,2023-24,3,0,0,0,0,0,,,D,2 (0)–2 (3),2,2,0.0,0.0,round
231,1,2023-08-12,Sat,League Two,Matchweek 2,Away,Colchester Utd,Bradford City,Y,FW,72.0,1.0,0.0,0,0,2,1,1,0,,,0,,,,,,,,,,,,,,,Match Report,Joe-Taylor,2023-24,1,1,0,1,0,0,,,L,1–2,1,2,0.0,0.0,2
232,2,2023-08-15,Tue,League Two,Matchweek 3,Home,Colchester Utd,AFC Wimbledon,Y,FW,82.0,0.0,0.0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Joe-Taylor,2023-24,1,0,0,0,0,0,,,L,0–2,0,2,0.0,1.0,3
233,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Nott'ham Forest,Arsenal,Y*,CB,89.0,0.0,0.0,0,0,0,0,0,0,24,1,1,1,0.0,0.0,0.0,0,0,10,16,62.5,0,11,0,0,0,Match Report,Joe-Worrall,2023-24,,,,,,,,,L,1–2,1,2,0.0,0.0,1
234,0,2023-08-13,Sun,Premier League,Matchweek 1,Away,Liverpool,Chelsea,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Joel-Matip,2023-24,0,0,0,0,0,0,0,0,D,1–1,1,1,0.0,0.0,1
235,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Brighton,Luton Town,N,RB,12.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Match Report,Joel-Veltman,2023-24,,,,,,,,,W,4–1,4,1,0.0,1.0,1
236,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Crystal Palace,Sheffield Utd,Y*,RB,90.0,0.0,0.0,0,0,0,0,0,0,83,2,0,1,0.0,0.0,0.0,0,0,61,73,83.6,5,43,3,1,0,Match Report,Joel-Ward,2023-24,,,,,,,,,W,1–0,1,0,1.0,0.0,1
237,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Newcastle Utd,Aston Villa,Y,LM,90.0,0.0,0.0,0,0,1,0,0,0,48,4,0,0,0.1,0.1,0.0,4,1,36,40,90.0,4,31,1,0,0,Match Report,Joelinton,2023-24,,,,,,,,,W,5–1,5,1,0.0,1.0,1
238,0,2023-08-11,Fri,Premier League,Matchweek 1,Home,Burnley,Manchester City,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Johann-Berg-Gudmundsson,2023-24,0,0,0,0,0,0,0,0,L,0–3,0,3,0.0,1.0,1
239,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Sheffield Utd,Crystal Palace,Y*,CB,90.0,0.0,0.0,0,0,1,0,0,0,38,1,2,1,0.0,0.0,0.0,0,0,8,23,34.8,1,10,0,0,0,Match Report,John-Egan,2023-24,,,,,,,,,L,0–1,0,1,0.0,1.0,1
240,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Aston Villa,Newcastle Utd,Y*,"LW,AM",63.0,0.0,0.0,0,0,0,0,0,0,22.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,18.0,72.2,1.0,16.0,0.0,2.0,0.0,Match Report,John-McGinn,2023-24,,,,,,,,,L,1–5,1,5,0.0,0.0,1
241,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Luton Town,Brighton,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,John-Mcatee,2023-24,0,0,0,0,0,0,0,0,L,1–4,1,4,0.0,0.0,1
242,0,2023-08-06,Sun,Community Shield,FA Community Shield,Neutral,Manchester City,Arsenal,Y,CB,90.0,0.0,0.0,0,0,1,1,0,0,,,1,,,,,,,,,,,,,,,Match Report,John-Stones,2023-24,0,1,,0,0,,,,D,1 (1)–1 (4),1,1,0.0,0.0,Community
243,2,2023-08-16,Wed,Super Cup,UEFA Super Cup,Home,eng Manchester City,es Sevilla,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,John-Stones,2023-24,0,0,0,0,0,0,0,0,D,1 (5)–1 (4),1,1,0.0,1.0,Super
244,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Crystal Palace,Sheffield Utd,Y,RW,90.0,0.0,1.0,0,0,2,1,0,0,61,1,1,4,0.1,0.1,0.7,4,1,34,46,73.9,1,38,4,4,1,Match Report,Jordan-Ayew,2023-24,,,,,,,,,W,1–0,1,0,1.0,0.0,1
245,0,2023-08-11,Fri,Premier League,Matchweek 1,Home,Burnley,Manchester City,Y,CB,73.0,0.0,0.0,0,0,0,0,0,0,49,4,4,2,0.0,0.0,0.0,0,0,28,35,80.0,0,21,0,1,0,Match Report,Jordan-Beyer,2023-24,,,,,,,,,L,0–3,0,3,0.0,1.0,1
246,0,2023-08-14,Mon,Pro League,Matchweek 1,Home,Al-Ettifaq,Al-Nassr,Y*,DM,87.0,0.0,0.0,0,0,0,0,0,0,,,4,,,,,,,,,,,,,,,Match Report,Jordan-Henderson,2023-24,1,0,0,3,1,,,,W,2–1,2,1,0.0,1.0,1
247,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Everton,Fulham,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,36.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,34.0,64.7,0.0,18.0,0.0,0.0,0.0,Match Report,Jordan-Pickford,2023-24,,,,,,,,,L,0–1,0,1,0.0,1.0,1
248,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Arsenal,Nott'ham Forest,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Jorginho,2023-24,0,0,0,0,0,0,0,0,W,2–1,2,1,0.0,1.0,1
249,0,2023-08-14,Mon,Premier League,Matchweek 1,Away,Wolves,Manchester Utd,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,28,34,82.4,0,21,0,0,0,Match Report,Jose-Sa,2023-24,,,,,,,,,L,0–1,0,1,0.0,0.0,1
250,0,2023-08-11,Fri,Premier League,Matchweek 1,Home,Burnley,Manchester City,N,CM,1.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,Match Report,Josh-Brownhill,2023-24,,,,,,,,,L,0–3,0,3,0.0,1.0,1
