id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3585,Said Benrahma,3,220,0,0.2306956872344017,1,0.8434863537549973,5,6,0,0,M S,West Ham,0,0.2306956872344017,1.4316499531269073,0.3891051597893238
3600,Serge Aurier,3,270,0,0.022981125861406326,2,0.566937267780304,1,2,2,0,D,Nottingham Forest,0,0.022981125861406326,1.259076088666916,0.692138809710741
3621,Neal Maupay,2,103,0,1.3754028677940369,0,0.13353370130062103,5,1,0,0,F S,Everton,0,1.3754028677940369,1.3316882029175758,0.06084267050027847
3635,Bernardo Silva,2,180,0,0,0,0.35410866141319275,0,4,0,0,M,Manchester City,0,0,1.0298643708229065,0.6757557094097137
4105,Raúl Jiménez,3,237,0,0.3911895453929901,0,0,5,0,1,0,F,Fulham,0,0.3911895453929901,0.34338366240262985,0
4401,Emiliano Martinez,2,180,0,0,0,0,0,0,1,0,GK,Aston Villa,0,0,0.16143472865223885,0.16143472865223885
5220,Kai Havertz,3,238,0,0.28569092229008675,0,0.47491370141506195,4,5,1,0,M,Arsenal,0,0.28569092229008675,1.5988702178001404,1.1163548678159714
5355,Jacob Bruun Larsen,2,30,0,0.013008161447942257,0,0,1,0,0,0,S,Burnley,0,0.013008161447942257,0.0639837458729744,0.0639837458729744
5543,Gabriel Jesus,1,1,0,0.05692340433597565,0,0,1,0,0,0,S,Arsenal,0,0.05692340433597565,0,0
5552,Nick Pope,3,270,0,0.016498630866408348,0,0,1,0,0,0,GK,Newcastle United,0,0.016498630866408348,1.409238189458847,1.409238189458847
5553,Declan Rice,3,270,0,0.12083746492862701,0,0.4535524845123291,3,1,0,0,M,Arsenal,0,0.12083746492862701,1.745406061410904,1.624568596482277
5555,Dominic Calvert-Lewin,1,37,0,0,0,0,0,0,0,0,F,Everton,0,0,0,0
5560,Scott McTominay,2,3,0,0,0,0.03688819333910942,0,1,0,0,S,Manchester United,0,0,0.03688819333910942,0
5568,Connor Roberts,2,180,0,0,0,0,0,0,0,0,D,Burnley,0,0,0.23751407116651535,0.23751407116651535
5584,Aaron Wan-Bissaka,3,249,0,0,1,1.0327167361974716,0,4,2,0,D,Manchester United,0,0,3.318218469619751,2.411815822124481
5590,Tosin Adarabioyo,1,1,0,0,0,0,0,0,0,0,S,Fulham,0,0,0,0
5596,Harry Wilson,3,253,0,0.09058846533298492,0,0.5153820887207985,3,3,0,0,F,Fulham,0,0.09058846533298492,0.8189767375588417,0.7283882275223732
5603,Aaron Ramsdale,3,270,0,0,0,0,0,0,0,0,GK,Arsenal,0,0,0.10656603425741196,0.10656603425741196
5609,Yves Bissouma,3,259,0,0.2072657272219658,0,0.1400558538734913,6,2,1,0,M,Tottenham,0,0.2072657272219658,1.8084270060062408,1.5559799075126648
5613,Gabriel,2,19,0,0,0,0,0,0,0,0,S,Arsenal,0,0,0,0
5681,Giovani Lo Celso,1,11,0,0,0,0.034908477216959,0,1,0,0,S,Tottenham,0,0,0.034908477216959,0.034908477216959
5712,Diego Carlos,3,122,0,0.1422494277358055,0,0,2,0,0,0,D S,Aston Villa,0,0.1422494277358055,0.8165693618357182,0.8165693618357182
5735,Jean-Philippe Mateta,1,18,0,0,0,0,0,0,0,0,S,Crystal Palace,0,0,0,0
5789,Boubacar Kamara,3,270,0,0.029543708078563213,0,0.245274405926466,2,3,0,0,M,Aston Villa,0,0.029543708078563213,1.4081771783530712,1.1590989977121353
5956,Youri Tielemans,3,52,0,0,0,0.10713136941194534,0,1,0,0,S,Aston Villa,0,0,0.14225715398788452,0.14225715398788452
