assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,0,437742,None,,0,0,0,0,0.0,626,263,None,,0,3,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Albert,0.0,627,262,0,0,0,0.0,630,264,21,False,0.0,627,262,0,,None,50,245,156,0,0,None,0,,437742.jpg,0.0,627,262,0,0,0,Sambi Lokonga,0.0,583,234,False,None,0,0,a,1,3,0.0,615,254,0,88,26,489,161,0.0,0.0,Sambi,0
0,0,0,None,None,0,0,209289,None,,-1,1,-1,1,0.0,646,277,None,,0,3,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Emile,0.0,646,275,0,0,0,0.0,649,277,22,False,0.0,647,276,0,,None,54,145,92,0,0,None,0,,209289.jpg,0.0,646,275,0,0,0,Smith Rowe,0.2,366,114,False,None,0,0,a,1,3,0.0,636,269,0,712,276,5239,1680,0.0,0.0,Smith Rowe,0
0,0,0,None,None,0,0,437626,None,,0,0,0,0,0.0,381,150,None,,0,2,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Nuno,0.0,400,148,0,0,0,0.0,404,155,23,False,0.0,394,155,0,,None,40,638,194,0,0,None,0,,437626.jpg,0.0,400,148,0,0,0,Varela Tavares,0.3,282,108,False,None,0,0,a,1,3,0.0,326,123,0,2861,1163,5604,2028,0.0,0.0,Tavares,0
0,0,0,None,None,0,0,192895,None,,0,0,0,0,0.0,473,199,None,,0,2,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Kieran,0.0,488,200,0,0,0,0.0,487,202,24,False,0.0,478,203,0,,None,45,393,82,0,0,None,0,,192895.jpg,0.0,488,200,0,0,0,Tierney,0.3,271,101,False,None,0,0,a,1,3,0.0,432,185,0,2109,554,8137,2687,0.0,0.0,Tierney,0
0,0,22,0,None,1,0.85,223723,None,,0,0,0,0,8.1,191,57,None,,0,2,0.0,2.5,3,0.05,0.04,0.08,0.07,0.03,2.69,2.28,0.03,Takehiro,2.0,135,45,1,0.85,0,2.5,235,82,25,False,10.0,229,93,106,Suspended until 03 Sep,2023-08-22T00:00:07.272418Z,45,426,104,0,0,None,0,,223723.jpg,2.0,140,47,1,0,0.0,Tomiyasu,0.2,298,116,False,None,1,0.85,s,1,3,9.0,153,37,4,5359,1335,6973,4066,0.4,0.9,Tomiyasu,0
0,0,8,None,None,0,0.0,116216,None,,-1,1,-2,2,10.8,184,104,None,,0,3,1.0,1.0,0,0.01,0.05,0.01,0.05,0.00,0.88,4.66,0.0,Leandro,0.5,324,153,1,5.29,0,1.6,267,119,26,False,5.4,265,113,17,,None,68,39,24,0,0,None,0,,116216.jpg,1.0,312,149,0,0,0.0,Trossard,3.7,88,28,False,None,0,0.0,a,1,3,0.0,668,288,1,11183,3058,206259,82518,0.1,0.1,Trossard,0
0,1,34,None,None,1,0.5,198869,None,,0,0,0,0,11.5,170,49,None,,0,2,4.5,4.5,7,0.05,0.02,0.05,0.02,0.00,2.24,1.12,0.0,Benjamin,4.0,66,20,1,0.5,0,4.6,178,58,29,False,32.4,106,37,180,,None,55,108,9,0,0,None,0,,198869.jpg,4.0,74,25,0,0,0.0,White,9.4,42,13,False,None,2,1.0,a,1,3,2.0,238,81,8,77005,36501,99245,32302,0.7,1.5,White,1
0,0,0,0,0,0,0,84450,None,,0,0,0,0,0.0,665,287,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Granit,0.0,662,285,0,0,0,0.0,665,287,30,False,0.0,665,287,0,Transferred to Bayer Leverkusen,2023-07-11T08:41:07.159936Z,60,59,35,0,0,None,0,,84450.jpg,0.0,662,285,0,0,0,Xhaka,0.0,618,251,False,None,0,0,u,1,3,0.0,661,284,0,0,0,877,205,0.0,0.0,Xhaka,0
0,0,2,None,None,0,0.0,206325,None,,-1,1,-1,1,1.3,248,87,None,,0,2,1.0,1.0,1,0.00,0.0,0.00,0.0,0.00,0.26,23.4,0.0,Oleksandr,0.5,299,109,0,0.0,0,0.2,320,115,31,False,0.2,320,119,1,,None,49,292,30,0,0,None,0,,206325.jpg,1.0,267,101,0,0,0.0,Zinchenko,5.5,68,27,False,None,0,0.0,a,1,3,0.0,558,212,1,33477,15194,156536,47175,0.1,0.2,Zinchenko,0
0,0,0,None,None,0,0,154561,None,,-1,1,-1,1,0.0,574,70,None,,0,1,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,David,0.0,581,77,0,0,0,0.0,584,77,113,False,0.0,575,77,0,,None,49,284,11,0,0,None,0,,154561.jpg,0.0,581,77,0,0,0,Raya Martin,3.5,91,13,False,None,0,0,a,1,3,0.0,550,69,0,7527,1701,163697,67758,0.0,0.0,Raya,0
0,0,38,None,None,1,0.5,204480,None,,0,0,0,0,23.6,98,67,None,,0,3,3.0,3.0,3,0.26,0.13,0.51,0.25,0.25,2.24,1.12,0.12,Declan,2.5,120,47,1,0.5,0,10.1,67,37,540,False,44.4,67,24,180,,None,55,111,67,0,0,None,0,,204480.jpg,2.5,124,50,0,0,0.0,Rice,5.7,64,19,False,None,2,1.0,a,1,3,33.0,70,38,5,40363,11673,109609,45669,0.5,0.9,Rice,0
0,0,0,100,100,0,0,200641,None,,0,0,0,0,0.0,617,259,None,,0,3,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Reiss,0.0,620,258,0,0,0,0.0,622,259,578,False,0.0,619,257,0,,2023-08-07T15:30:06.067296Z,50,218,140,0,0,None,0,,200641.jpg,0.0,620,258,0,0,0,Nelson,0.0,545,205,False,None,0,0,a,1,3,0.0,603,247,0,330,89,845,340,0.0,0.0,Nelson,0
0,0,3,0,0,0,0.0,445122,None,,-1,1,-2,2,2.4,228,74,None,,0,2,0.0,0.0,0,0.01,0.02,0.01,0.02,0.00,0.28,0.51,0.0,Jurriën,0.0,570,213,0,0.0,0,0.6,299,107,585,False,3.6,279,106,49,Knee injury - Unknown return date,2023-08-12T18:00:07.121160Z,48,315,35,0,0,None,0,,445122.jpg,0.0,570,213,0,0,0.0,Timber,1.6,142,55,False,None,1,1.84,i,1,3,0.0,537,210,0,10643,213,370963,74658,0.0,0.0,J.Timber,1
0,0,0,None,None,0,0,463748,None,,0,0,0,0,0.0,395,44,None,,0,1,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,414,60,0,0,0,0.0,418,60,646,False,0.0,408,60,0,,None,40,652,72,0,0,None,0,,463748.jpg,0.0,414,60,0,0,0,Hein,0.0,590,69,False,None,0,0,a,1,3,0.0,340,42,0,450,265,102,76,0.0,0.0,Hein,0
0,0,0,0,0,0,0,106468,None,,0,0,0,0,0.0,601,217,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Alexandre,0.0,606,216,0,0,0,0.0,608,217,32,False,0.0,603,217,0,Hamstring injury - Expected back 03 Sep,2023-07-05T16:30:03.686424Z,50,181,22,0,0,None,0,,106468.jpg,0.0,606,216,0,0,0,Moreno Lopera,0.0,521,191,False,None,0,0,i,2,7,0.0,582,216,0,327,130,1379,463,0.0,0.0,Alex Moreno,0
0,0,-1,None,None,0,0.0,433979,None,,0,0,0,0,4.3,207,30,None,,0,4,0.5,0.0,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,Cameron,0.0,524,52,0,0.0,0,0.3,312,39,33,False,0.0,514,49,5,,None,45,464,73,0,0,None,0,,433979.jpg,0.0,524,52,0,0,0.0,Archer,5.3,71,14,False,None,0,0.0,a,2,7,0.0,480,48,0,21157,7224,85259,41986,0.0,0.0,Archer,1
1,3,40,None,None,1,0.84,215711,3,,0,0,0,0,17.0,133,82,3,,1,3,8.0,7.5,14,0.69,0.58,1.01,0.85,0.32,1.88,1.58,0.27,Leon,7.5,10,6,2,1.68,1,9.8,74,43,34,True,50.2,49,17,107,,None,55,114,70,0,0,None,0,,215711.jpg,7.5,10,6,0,0,0.0,Bailey,1.5,145,49,False,None,2,1.68,a,2,7,31.0,76,44,15,75330,69229,17830,8699,1.4,2.7,Bailey,0
0,0,0,0,0,0,0,195546,None,,0,0,-1,1,0.0,662,284,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Emiliano,0.0,659,282,0,0,0,0.0,662,284,35,False,0.0,662,284,0,Knee injury - Expected back 10 Feb,2023-08-10T11:00:05.686871Z,59,79,48,0,0,None,0,,195546.jpg,0.0,659,282,0,0,0,Buendía Stati,0.1,452,153,False,None,0,0,i,2,7,0.0,658,281,0,156,64,12472,2342,0.0,0.0,Buendia,0
0,0,28,None,None,1,0.51,199796,None,,0,0,0,0,18.1,127,32,None,,0,2,3.0,2.5,6,0.27,0.14,1.01,0.52,0.74,3.48,1.78,0.38,Matty,2.5,106,39,4,2.05,0,5.8,143,39,36,False,28.2,131,52,176,,None,45,397,86,0,0,None,0,,199796.jpg,2.5,110,40,0,0,0.0,Cash,7.8,49,15,False,None,2,1.02,a,2,7,11.0,143,29,5,107036,41340,70507,26549,0.6,1.1,Cash,1
0,0,0,None,None,0,0,101184,None,,0,0,0,0,0.0,323,117,None,,0,2,0.5,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Calum,0.0,341,113,0,0,0,0.0,347,122,37,False,0.0,337,122,0,,None,40,577,158,0,0,None,0,,101184.jpg,0.0,341,113,0,0,0,Chambers,1.3,153,57,False,None,0,0,a,2,7,0.0,265,87,0,7771,2932,15794,6851,0.0,0.0,Chambers,0
0,0,7,25,None,0,0.0,84583,5,,0,0,0,0,2.8,223,118,4,,0,3,0.4,1.0,1,0.02,0.08,0.17,0.64,0.15,0.68,2.55,0.56,Philippe,1.0,259,120,1,3.75,0,1.8,254,112,38,False,4.0,275,118,24,Hamstring injury - 25% chance of playing,2023-08-20T22:00:05.790965Z,60,60,36,0,0,3,0,,84583.jpg,1.0,307,145,0,0,0.0,Coutinho Correia,0.5,233,73,False,None,0,0.0,d,2,7,12.0,142,83,2,4580,1186,20126,11326,0.2,0.3,Coutinho,0
0,0,0,None,None,0,0,221239,None,,0,0,0,0,0.0,623,68,None,,0,4,0.5,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Keinan,0.0,625,69,0,0,0,0.0,627,69,39,False,0.0,624,68,0,,None,50,231,49,0,0,None,0,,221239.jpg,0.0,625,69,0,0,0,Davis,0.3,289,50,False,None,0,0,a,2,7,0.0,611,68,0,3311,1069,7039,2695,0.0,0.0,Davis,0
0,0,0,0,0,0,0,151589,None,,-1,1,-1,1,0.0,573,229,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Leander,0.0,580,228,0,0,0,0.0,583,230,40,False,0.0,574,223,0,Muscle injury - Unknown return date,2023-08-10T15:00:04.947940Z,49,283,186,0,0,None,0,,151589.jpg,0.0,580,228,0,0,0,Dendoncker,0.0,608,246,False,None,0,0,i,2,7,0.0,549,210,0,30,15,1135,258,0.0,0.0,Dendoncker,0
0,0,14,None,None,0,0.0,165659,None,,0,0,0,0,0.6,271,98,None,,0,2,1.0,0.5,1,0.00,0.0,0.27,0.47,0.27,1.67,2.89,0.47,Diego Carlos,0.5,273,94,2,3.46,0,6.2,133,33,41,False,24.6,150,63,52,,None,45,375,71,0,0,None,0,,165659.jpg,0.5,320,107,0,0,0.0,Santos Silva,0.5,232,86,False,None,0,0.0,a,2,7,37.0,58,10,1,5826,1745,9145,3502,0.1,0.2,Diego Carlos,0
1,2,44,None,None,1,0.5,101188,2,,0,0,0,0,62.9,17,4,2,,1,2,5.0,4.5,10,0.20,0.1,0.22,0.11,0.02,4.12,2.06,0.01,Lucas,4.5,48,12,5,2.5,0,9.8,72,15,42,False,28.0,132,53,180,,None,45,349,55,0,0,None,0,,101188.jpg,4.5,54,16,0,0,0.0,Digne,1.9,134,50,False,None,2,1.0,a,2,7,7.0,169,46,9,76075,59014,18043,8039,1.0,2.0,Digne,2
0,0,40,None,None,1,0.59,230046,1,,0,0,0,0,36.7,60,45,1,,0,3,4.5,4.0,7,0.25,0.15,1.23,0.73,0.98,4.08,2.4,0.58,Douglas Luiz,4.0,67,23,5,2.94,1,12.8,38,25,43,False,53.4,40,13,153,,None,55,117,73,0,0,1,0,,230046.jpg,4.0,75,25,0,0,0.0,Soares de Paulo,2.5,117,42,False,None,2,1.18,a,2,7,38.0,56,30,8,10822,6544,48203,16057,0.7,1.5,Douglas Luiz,2
