Ast_4,CrdR_4,CrdY_4,DEF,FPL_points,FPL_pos,FWD,GW,Gls_4,MID,Min_4,Name_original,Opp_rating,Opponent,Rating_difference,Season,Sh_4,SoT_4,Team,Team_CS_4,Team_rating,Was_home,xA_4,xG_4
0.0,0.0,0.0,1,1.0,DEF,0,1,0.0,0,82.0,Aaron Hickey,1779.56384277,Leicester City,0.963420760073055,2022-23,0.0,0.0,Brentford,0.0,1714.46875,0.0,0.0,0.0
0.0,0.0,0.0,1,6.0,DEF,0,2,0.0,0,82.0,Aaron Hickey,1800.18823242,Manchester Utd,0.9541397919710771,2022-23,0.0,0.0,Brentford,0.0,1717.63122559,1.0,0.0,0.0
0.0,0.0,0.0,1,0.0,DEF,0,3,0.0,0,80.5,Aaron Hickey,1647.4921875,Fulham,1.0536136095819877,2022-23,0.5,0.5,Brentford,0.5,1735.82019043,0.0,0.0,0.0
0.0,0.0,0.0,1,1.0,DEF,0,4,0.0,0,73.0,Aaron Hickey,1686.19506836,Everton,1.0244226763870523,2022-23,0.3333333333333333,0.3333333333333333,Brentford,0.3333333333333333,1727.37646484,1.0,0.0,0.0
0.0,0.0,0.25,1,1.0,DEF,0,5,0.0,0,77.25,Aaron Hickey,1758.84753418,Crystal Palace,0.9805562405294306,2022-23,0.75,0.25,Brentford,0.25,1724.64892578,0.0,0.0,0.0
0.0,0.0,0.5,1,0.0,DEF,0,6,0.0,0,76.25,Aaron Hickey,1723.43676758,Leeds United,1.0021334579539944,2022-23,0.75,0.25,Brentford,0.25,1727.11364746,1.0,0.0,0.0
0.0,0.0,0.75,1,1.0,DEF,0,8,0.0,0,79.0,Aaron Hickey,1862.02844238,Arsenal,0.9286128376266377,2022-23,0.5,0.0,Brentford,0.0,1729.10351562,1.0,0.0,0.0
0.0,0.0,0.75,1,0.0,DEF,0,9,0.0,0,87.0,Aaron Hickey,1638.47497559,Bournemouth,1.0491166735097808,2022-23,0.5,0.0,Brentford,0.0,1718.95141602,0.0,0.0,0.0
0.0,0.0,0.75,1,3.0,DEF,0,10,0.0,0,72.0,Aaron Hickey,1770.97143555,Newcastle Utd,0.9738784617744932,2022-23,0.0,0.0,Brentford,0.25,1724.7109375,0.0,0.0,0.0
0.0,0.0,0.5,1,0.0,DEF,0,21,0.0,0,73.0,Aaron Hickey,1707.01049805,Leeds United,1.04285249462939,2022-23,0.0,0.0,Brentford,0.25,1780.16015625,0.0,0.0,0.0
0.0,0.0,0.25,1,6.0,DEF,0,22,0.0,0,50.5,Aaron Hickey,1651.96044922,Southampton,1.0769356218849002,2022-23,0.0,0.0,Brentford,0.5,1779.05505371,1.0,0.0,0.0
0.0,0.0,0.25,1,0.0,DEF,0,23,0.0,0,43.0,Aaron Hickey,1933.00195312,Arsenal,0.9239886677440524,2022-23,0.25,0.0,Brentford,0.75,1786.07189941,0.0,0.0,0.0
0.0,0.0,0.0,1,2.0,DEF,0,24,0.0,0,35.5,Aaron Hickey,1737.52392578,Crystal Palace,1.0296528066034376,2022-23,0.25,0.0,Brentford,0.5,1789.04638672,1.0,0.0,0.0
0.0,0.0,0.0,1,5.0,DEF,0,26,0.0,0,33.75,Aaron Hickey,1736.15026855,Fulham,1.0280763433114062,2022-23,0.5,0.25,Brentford,0.5,1784.89501953,1.0,0.0,0.0
0.0,0.0,0.0,1,2.0,DEF,0,27,0.0,0,56.0,Aaron Hickey,1673.16967773,Everton,1.0730216510233195,2022-23,0.75,0.25,Brentford,0.25,1795.34729004,0.0,0.0,0.0
0.0,0.0,0.0,1,5.0,DEF,0,7,0.0,0,59.25,Aaron Hickey,1666.86999512,Southampton,1.0729277973542553,2022-23,0.5,0.25,Brentford,0.0,1788.43115234,0.0,0.024999999999999974,0.0
0.0,0.0,0.25,1,4.0,DEF,0,28,0.0,0,81.75,Aaron Hickey,1748.7578125,Leicester City,1.0279433141174317,2022-23,0.5,0.25,Brentford,0.25,1797.62390137,1.0,0.024999999999999974,0.0
0.0,0.0,0.25,1,0.0,DEF,0,29,0.0,0,85.5,Aaron Hickey,1830.80749512,Brighton,0.9802808712514945,2022-23,0.25,0.0,Brentford,0.25,1794.70556641,0.0,0.024999999999999974,0.0
0.0,0.0,0.5,1,1.0,DEF,0,25,0.0,0,85.75,Aaron Hickey,1876.04211426,Manchester Utd,0.9579824676851175,2022-23,0.0,0.0,Brentford,0.25,1797.2154541,0.0,0.024999999999999974,0.0
0.0,0.0,0.5,1,1.0,DEF,0,30,0.0,0,71.5,Aaron Hickey,1871.87463379,Newcastle Utd,0.957572377969993,2022-23,0.25,0.0,Brentford,0.25,1792.45544434,1.0,0.0,0.0
