,index,Date,Day,Comp,Round,Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Name,Season,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,WDL,GoalsTeams,Team Score,Opp Score,CS,Was Home,GW
711,3,2023-08-29,Tue,EFL Cup,Second round,Away,Crystal Palace,Plymouth Argyle,N,,36.0,0.0,1.0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Jordan-Ayew,2023-24,,,,,,,,,W,4–2,4,2,0.0,0.0,round
712,0,2023-08-11,Fri,Premier League,Matchweek 1,Home,Burnley,Manchester City,Y,CB,73.0,0.0,0.0,0,0,0,0,0,0,49,4,4,2,0.0,0.0,0.0,0,0,28,35,80.0,0,21,0,1,0,Match Report,Jordan-Beyer,2023-24,,,,,,,,,L,0–3,0,3,0.0,1.0,1
713,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Everton,Fulham,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,1,0,22,34,64.7,0,18,0,0,0,Match Report,Jordan-Pickford,2023-24,,,,,,,,,L,0–1,0,1,0.0,1.0,1
714,1,2023-08-20,Sun,Premier League,Matchweek 2,Away,Everton,Aston Villa,Y,GK,90.0,0.0,0.0,0,0,0,0,1,0,29,0,0,0,0.0,0.0,0.0,0,0,19,27,70.4,0,18,0,0,0,Match Report,Jordan-Pickford,2023-24,,,,,,,,,L,0–4,0,4,0.0,0.0,2
715,2,2023-08-26,Sat,Premier League,Matchweek 3,Home,Everton,Wolves,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,1,0,26,39,66.7,0,25,0,0,0,Match Report,Jordan-Pickford,2023-24,,,,,,,,,L,0–1,0,1,0.0,1.0,3
716,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Arsenal,Nott'ham Forest,N,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,Jorginho,2023-24,,,,,,,,,W,2–1,2,1,0.0,1.0,1
717,1,2023-08-21,Mon,Premier League,Matchweek 2,Away,Arsenal,Crystal Palace,N,CM,12.0,0.0,0.0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,11,12,91.7,0,9,0,0,0,Match Report,Jorginho,2023-24,,,,,,,,,W,1–0,1,0,1.0,0.0,2
718,2,2023-08-26,Sat,Premier League,Matchweek 3,Home,Arsenal,Fulham,N,RM,7.0,0.0,0.0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,18,19,94.7,7,12,2,0,0,Match Report,Jorginho,2023-24,,,,,,,,,D,2–2,2,2,0.0,1.0,3
719,0,2023-08-14,Mon,Premier League,Matchweek 1,Away,Wolves,Manchester Utd,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,28,34,82.4,0,21,0,0,0,Match Report,Jose-Sa,2023-24,,,,,,,,,L,0–1,0,1,0.0,0.0,1
720,1,2023-08-19,Sat,Premier League,Matchweek 2,Home,Wolves,Brighton,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,32,44,72.7,0,42,0,0,0,Match Report,Jose-Sa,2023-24,,,,,,,,,L,1–4,1,4,0.0,1.0,2
