FPL_points,FPL_points_2,FPL_points_4,FPL_pos,GW,Min_2,Min_4,Name_original,Opp_rating,Opp_score_2,Opp_score_4,Opponent,Player_CS_2,Player_CS_4,Saves_2,Saves_4,Season,Start_2,Start_4,Team,Team_rating,Team_result_2,Team_result_4,Was_home
6.0,2.0,2.0,GK,1,90.0,90.0,Aaron Ramsdale,1754.06225586,2.0,1.5,Crystal Palace,0.0,0.0,2.0,1.75,2022-23,1.0,1.0,Arsenal,1851.63745117,1.5,2.25,0.0
1.0,4.0,3.0,GK,2,90.0,90.0,Aaron Ramsdale,1776.40124512,0.5,1.25,Leicester City,0.5,0.25,1.5,1.75,2022-23,1.0,1.0,Arsenal,1861.18920898,3.0,2.25,1.0
6.0,3.5,2.75,GK,3,90.0,90.0,Aaron Ramsdale,1642.50561523,1.0,1.5,Bournemouth,0.5,0.25,1.5,1.75,2022-23,1.0,1.0,Arsenal,1868.14379883,3.0,2.25,0.0
2.0,3.5,3.75,GK,4,90.0,90.0,Aaron Ramsdale,1656.88146973,1.0,0.75,Fulham,0.5,0.5,1.0,1.25,2022-23,1.0,1.0,Arsenal,1875.5098877,3.0,3.0,1.0
2.0,4.0,3.75,GK,5,90.0,90.0,Aaron Ramsdale,1716.42919922,0.5,0.75,Aston Villa,0.5,0.5,1.5,1.5,2022-23,1.0,1.0,Arsenal,1877.85021973,3.0,3.0,1.0
2.0,2.0,2.75,GK,6,90.0,90.0,Aaron Ramsdale,1810.19897461,1.0,1.0,Manchester Utd,0.0,0.25,2.0,1.5,2022-23,1.0,1.0,Arsenal,1881.02893066,3.0,3.0,0.0
6.0,2.0,3.0,GK,8,90.0,90.0,Aaron Ramsdale,1729.10351562,2.0,1.25,Brentford,0.0,0.25,2.5,2.0,2022-23,1.0,1.0,Arsenal,1862.02844238,1.5,2.25,0.0
2.0,4.0,3.0,GK,9,90.0,90.0,Aaron Ramsdale,1873.33654785,1.5,1.25,Tottenham,0.5,0.25,2.5,2.25,2022-23,1.0,1.0,Arsenal,1872.18054199,1.5,2.25,1.0
1.0,4.0,3.0,GK,10,90.0,90.0,Aaron Ramsdale,1984.98950195,0.5,1.25,Liverpool,0.5,0.25,2.0,2.25,2022-23,1.0,1.0,Arsenal,1890.42175293,3.0,2.25,1.0
10.0,1.5,2.75,GK,11,90.0,90.0,Aaron Ramsdale,1709.1307373,1.5,1.5,Leeds United,0.0,0.25,2.0,2.25,2022-23,1.0,1.0,Arsenal,1908.04101562,3.0,2.25,0.0
2.0,5.5,4.75,GK,13,90.0,90.0,Aaron Ramsdale,1678.4329834,1.0,0.75,Southampton,0.5,0.5,3.0,2.5,2022-23,1.0,1.0,Arsenal,1916.25061035,3.0,3.0,0.0
6.0,6.0,3.75,GK,14,90.0,90.0,Aaron Ramsdale,1612.88708496,0.5,1.0,Nott'ham Forest,0.5,0.25,3.0,2.5,2022-23,1.0,1.0,Arsenal,1893.71948242,2.0,2.5,1.0
6.0,4.0,4.75,GK,15,90.0,90.0,Aaron Ramsdale,1898.45532227,0.5,0.75,Chelsea,0.5,0.5,2.0,2.5,2022-23,1.0,1.0,Arsenal,1906.48034668,2.0,2.5,0.0
6.0,6.0,6.0,GK,16,90.0,90.0,Aaron Ramsdale,1687.15625,0.0,0.25,Wolves,1.0,0.75,1.5,2.25,2022-23,1.0,1.0,Arsenal,1915.68554688,3.0,2.5,0.0
