fbref_id,Name
a4ac4b8f,Willy Boly
a5212312,Joe Worrall
4e5a4cbc,Scott McKenna
a816dbfb,Danilo
c1fe2a48,Ryan Yates
e5478b87,Taiwo Awoniyi
0cd31129,Brennan Johnson
246d153b,Ola Aina
a572e291,Orel Mangala
dd323728,Neco Williams
2fba6108,Anthony Elanga
4e9a0555,Chris Wood
8d3c902d,Cheikhou Kouyaté
00242715,Moussa Niakhate
374d5158,Gonzalo Montiel
a65c844b,Nuno Tavares
938fa024,Brandon Aguilera
51a3c4c8,Felipe
98d2c2c4,Remo Freuler
3f65d5ce,Ethan Horvath
089667a5,Lewis O'Brien
a105d46a,Harry Toffolo
a2d873dd,Hwang Ui-jo
d0f72bf1,Max Kilman
2b471f99,Mario Lemina
7ba2eaa9,Pedro Neto
903b6e8b,José Sá
d04b94db,Nélson Semedo
dc62b55d,Matheus Cunha
3e9e06cb,Craig Dawson
8b57ad2c,João Gomes
9b398aea,Rayan Aït Nouri
e7aa9d7c,Fábio Silva
e6af02e0,Matheus Nunes
9744ff80,Pablo Sarabia
169fd162,Hwang Hee-chan
bfc3b3a0,Hugo Bueno
f0caab96,Toti Gomes
15f24fe7,Sasa Kalajdzic
999ceb5f,Boubacar Traoré
68db6358,Daniel Bentley
e28868f3,Jonny Castro
d557d734,Matt Doherty
00b77ecf,Nathan Fraser
7e5bebeb,Enso Gonzalez
bd8a5d95,Joseph Hodge
0ad53bdc,Milos Kerkez
a9dc785c,Neto
e77dc3b2,Dominic Solanke
88968486,Illia Zabarnyi
d328a254,Philip Billing
774cf58b,Max Aarons
26ce2263,Ryan Christie
35141f4c,Marcos Senesi
efd2ec23,Antoine Semenyo
10a10454,Joe Rothwell
4c3a6744,Justin Kluivert
e4238fb1,Jaidon Anthony
dc4cae05,David Brooks
2afc7272,Lewis Cook
f31def1e,Lloyd Kelly
01ce9e70,Kieffer Moore
570bb4b9,Hamed Junior Traorè
fed96827,Chris Mepham
5c0da4a4,Marcus Tavernier
69942fb3,James Hill
7eda24fe,Ben Greenwood
3eeda7dd,Gavin Kilkenny
67f649be,Ionuț Radu
20b104bc,Adam Smith
eab957a3,Anel Ahmedhodzic
96cf7b61,Wes Foderingham
43439614,Oliver Norwood
7399c7a8,Jack Robinson
debe38a0,John Egan
77816c91,Bénie Adama Traore
eebacc07,Gustavo Hamer
394854c4,George Baldock
6a8a7af8,Vinicius Souza
7b355808,William Osula
79bc4c45,Ben Osborn
7af88b33,Max Lowe
0ed063d6,Yasser Larouci
1aa84968,Chris Basham
78b8ac63,Oliver McBurnie
05e8ca6d,Cameron Archer
fc027d02,Luke Thomas
5f346071,Andre Brooks
ae5019e6,Jayden Bogle
a7588cdc,Antwoine Hackford
9ade9ce1,Anis Ben Slimane
d33e3242,Ismaila Cheick Coulibaly
71894777,Adam Davies
9228b07c,Tom Davies
7923301c,Louie Marsh
e4e0deaa,Femi Seriki
cddf767b,Auston Trusty
f6d7d690,Josh Cullen
93e08bce,Ameen Al-Dakhil
1d042188,Dara O'Shea
24fae784,Connor Roberts
259fea27,James Trafford
f84a807c,Lyle Foster
d0b6129f,Sander Berge
2ee5b0c9,Zeki Amdouni
fc076f78,Luca Koleosho
9af1f9ff,Jordan Beyer
b737f944,Hannes Delcroix
f72293fc,Jóhann Berg Guðmundsson
9295dc1c,Vitinho
d7f99582,Benson Manuel
4e204552,Jacob Bruun Larsen
ab651565,Nathan Redmond
47369df8,Josh Brownhill
07d65234,Anass Zaroury
e1618c22,Aaron Ramsey
74e12f1e,Jack Cork
4ab53cdb,Jay Rodriguez
3d554589,Hjalmar Ekdal
99aa1a84,Arijanet Muric
35516eac,Wilson Odobert
399e9474,Amari'i Bell
1caa93a5,Thomas Kaminski
2da834f1,Carlton Morris
de5b5570,Marvelous Nakamba
73b1d65b,Ryan John Giles
2696b6a9,Tahith Chong
0480ebc7,Elijah Adebayo
37118440,Tom Lockyer
f098c03e,Mads Juel Andersen
a681b7b7,Reece Burke
c066d1a5,Issa Kaboré
3a24769f,Ross Barkley
bf33b257,Alfie Doughty
a9b1c319,Pelly Ruddock Mpanzu
ca18c8f1,Jacob Brown
788c0277,Chiedozie Ogbene
d3085b49,Cauley Woodrow
2aaadf33,Luke Berry
858409be,Allan Campbell
38c29201,Aidan Francis
d9e7c4da,Joseph Johnson
f23f9d20,Tim Krul
5c42b6b6,John Mcatee
ee7c0a5e,James Shea
828657ff,Amadou Onana
230f0471,Nathan Patterson
4806ec67,Jordan Pickford
be927d03,Ashley Young
02b29014,Abdoulaye Doucouré
15ea812b,James Tarkowski
4e015693,James Garner
72c812f3,Idrissa Gana Gueye
f08490a6,Arnaut Danjuma
c5b7c315,Michael Keane
c1949191,Jarrad Branthwaite
6ca5ec4b,Alex Iwobi
e814e1cf,Lewis Dobbin
4bcf39f6,Neal Maupay
ed5c0319,Beto
59e6e5bf,Dominic Calvert-Lewin
890f108d,Youssef Chermiti
fc15fb84,Dwight McNeil
4506aec5,Thomas Cannon
9f7c837d,Ben Godfrey
d86a1f3e,Tyler Onyango
1961b2aa,André Gomes
165cf989,Andy Lonergan
30d4a2e5,Vitaliy Mykolenko
728e9b2e,João Virgínia
